unique_squirrel_id,kuks,quaas,moans
22F-AM-1007-02,False,False,False
5G-PM-1010-03,False,False,False
15F-AM-1007-02,False,False,False
13D-PM-1018-09,False,False,False
3B-AM-1010-01,False,False,False
37D-PM-1014-05,False,False,False
14E-AM-1008-07,False,False,False
40B-PM-1014-01,False,False,False
41A-PM-1007-03,False,False,False
3I-PM-1013-05,False,False,False
16D-PM-1010-06,False,False,False
37E-PM-1006-08,False,False,False
33C-AM-1012-02,False,False,False
10F-AM-1007-01,False,False,False
9B-PM-1013-04,False,False,False
1C-AM-1012-01,False,False,False
7H-PM-1006-03,False,False,False
3F-AM-1006-09,False,False,False
22D-PM-1012-05,False,False,False
5C-PM-1010-10,False,False,False
17E-AM-1017-06,False,False,False
9G-PM-1007-05,False,False,False
1D-PM-1007-03,False,False,False
35A-AM-1014-06,False,False,False
42I-PM-1014-03,False,False,False
22C-PM-1006-05,False,False,False
4B-PM-1018-01,False,False,False
10B-PM-1014-03,False,False,False
41D-PM-1014-01,False,False,False
25A-AM-1013-02,False,False,False
35A-PM-1013-12,False,False,False
3I-AM-1010-04,False,False,False
16D-PM-1010-04,False,False,False
2C-PM-1013-08,False,False,False
7B-AM-1008-01,False,False,False
22F-AM-1007-07,False,False,False
6A-AM-1006-04,False,False,False
6A-PM-1012-05,False,False,False
37G-PM-1007-03,False,False,False
13D-PM-1018-13,False,False,False
33E-AM-1014-02,False,False,False
14B-PM-1014-06,False,False,False
7E-PM-1013-05,False,False,False
9A-AM-1013-11,False,False,False
11D-AM-1010-06,False,False,False
18C-PM-1018-03,False,False,False
36I-PM-1007-05,False,False,False
1A-PM-1014-02,False,False,False
42G-PM-1014-01,False,False,True
9I-PM-1010-07,False,False,False
12C-AM-1013-02,True,False,False
37G-PM-1007-04,False,False,False
35E-AM-1020-03,False,False,False
8F-PM-1012-01,False,False,False
34I-PM-1010-06,False,False,False
33E-AM-1014-09,False,False,False
16D-PM-1010-09,True,False,False
14H-AM-1007-01,False,False,False
13H-PM-1010-09,False,False,False
29C-AM-1007-03,False,False,False
12G-PM-1007-05,False,False,False
18H-PM-1014-03,False,False,False
15I-AM-1008-02,False,False,False
42C-AM-1007-04,False,False,False
38E-PM-1014-03,False,False,False
39C-AM-1017-04,False,False,False
5C-PM-1010-04,False,False,False
14I-PM-1018-06,False,False,False
32E-PM-1017-01,False,False,False
9B-PM-1013-01,False,False,False
26B-AM-1010-01,False,False,False
31D-AM-1014-02,False,False,False
5C-PM-1010-11,False,False,False
16C-AM-1014-04,False,False,False
5D-PM-1018-04,False,False,False
36B-PM-1013-03,False,False,False
40C-AM-1017-02,False,False,False
28I-AM-1013-01,False,False,False
38F-AM-1018-04,False,False,False
1F-AM-1010-01,False,False,False
26A-AM-1014-01,False,False,False
32E-AM-1007-05,False,False,False
17F-PM-1020-04,False,False,False
11A-PM-1013-03,False,False,False
17E-AM-1017-01,False,False,False
31I-PM-1019-02,False,False,False
32H-PM-1006-02,False,False,False
6A-PM-1012-07,False,False,False
17A-AM-1017-01,False,False,False
40C-AM-1017-07,False,False,False
8A-PM-1014-01,True,False,False
13C-PM-1019-05,False,False,False
